Number,Project,Number,Status Date,Overall health,Functions on board,Solution,Resources,Risks on prod,Ok for Launch,Handover,Close and learn,GR1,GR2a,GR2b,GR3,GR4,Last WAR,WAR Tweet
PRJSTAT0075367,POC - PLM for CAID,PRJ0075082,6/6/2025,Green,,,,,,,,,,,,,VERDADERO,CW  23 Update 
PRJSTAT0075380,SIENA Global project management,PRJ0075388,6/6/2025,Yellow,,,,,,,,,,,,,VERDADERO,6 countries have offocial Go. Busy negotiating central contract for 3rd party support.  Yellow because: 1 - Spain has difficulties to involve the sites 2 - Mexico: plant don't have respources + Pueb Inj timeline very short
PRJSTAT0075387,FCS - FIS - PUE - New BAU Creation Plant 2749 under ME25 ,PRJ0075424,6/6/2025,Yellow,,,,,,,,100,0,0,0,0,VERDADERO,New DUNS impact project complexity: new EDI connections are required
PRJSTAT0075392,NAO - FIS - MCT - MATERIACT Phase 2 - Overall,PRJ0074168,6/6/2025,Yellow,,,,,,,,,,,,,VERDADERO,Local IT agreement not signed
PRJSTAT0075389,NAO FCM Supplier Consignment Project,PRJ0075326,6/6/2025,Yellow,,,,,,,,,,,,,VERDADERO,Project ON-HOLD. Purchasing in on-going commercial negotiations with supplier involving all FCM plants. 
PRJSTAT0075390,NAO FIS Supplier Consignment Project,PRJ0075327,6/6/2025,Green,,,,,,,,,,,,,VERDADERO,Go Live May 19 - Post Go Live follow-up meeting WK24
PRJSTAT0075360,FAS Jinan 2744 Plant FCS Rollout Project,PRJ0075478,6/6/2025,Green,Green,Green,Green,Green,Green,Green,Green,100,100,88,0,0,VERDADERO,the key user training is on going
PRJSTAT0075394,JIT/TCO -FCM -LOU- Master Data Interface,PRJ0074638,6/6/2025,Green,,,,,,,,,,,,,VERDADERO,Pending Validation on PROCs CU165
PRJSTAT0075362,Wuhu 2669 DMC project deployment,PRJ0075311,6/6/2025,Green,,,,,,,,96,0,0,0,0,VERDADERO,OK
PRJSTAT0075371,TMS - Test Management System,PRJ0072686,6/6/2025,Green,Green,Green,Green,,,,,100,89,94,96,0,VERDADERO,GANTT modification validated and to be put in production by end of June
PRJSTAT0075369,TOLSYS : Software to Manage stack-ups,PRJ0074455,6/6/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,CW 23 update
PRJSTAT0075386,PULSE (We+ Integrated PMS tools),PRJ0074775,6/6/2025,Green,Yellow,Yellow,Yellow,Green,Green,Green,Green,100,86,86,91,0,VERDADERO,GR3 Go decision
PRJSTAT0075382,Maya replacement (Blender),PRJ0075084,6/6/2025,Green,,,,,,,,,,,,,VERDADERO,The maya software uninstallation is going to be scheduled according to the provided users list. 
PRJSTAT0075370,"TCO - FCM - PAMPLONA - VW - E12019B (Lines BF260, BF365, BF155, BF170A, BF250, FFV345 & Downpipes) from Kassel - Hot End",PRJ0074881,6/6/2025,Yellow,,,,,,,,100,100,100,97,0,VERDADERO,"• BF250 – Machines validated in CW22, manual packaging and relabeling delayed to CW23 • BF260 – Pending manual packaging & relabeling delayed to CW22  • BF365 – Machine connection postponed without a fixed delivery date. Packaging station to be used "
PRJSTAT0075377,FCS Plant Maintenance & Mobility - FIS Arges - PM+M rollout plant 1826,PRJ0075195,6/6/2025,Green,,,,,,,,100,100,100,0,100,VERDADERO,Go / NoGo decision ->  GO
PRJSTAT0075372,TCO - FCM - TERNI - JEEP - E10089K transfer from Socheaux,PRJ0075110,6/6/2025,Green,,,,,,,,,,,,,VERDADERO,• Machines validation  1. Welding >> Delayed to CW24 • MPT to be delayed from CW27 to CW30 (To be confirmed)
PRJSTAT0075393,FCS Rollout New BAU - FAS - SJM PT01-2672   WAVE 2: Manufacturing,PRJ0075352,6/6/2025,Green,,,,,,,,100,93,0,0,0,VERDADERO,Phase 2b (BUILD & TEST) in progress
PRJSTAT0075365,FCS Customer Flow - FAS WLB Frames: EDI connection customer NOBO,PRJ0075504,6/6/2025,Green,,,,,,,,,,,,,VERDADERO,Work in progress
PRJSTAT0075368,3DExperience 2025 study,PRJ0075354,6/6/2025,Green,,,,,,,,,,,,,VERDADERO,CW 23 update
PRJSTAT0075385,FCS Customer Flow - FAS WLB Pneumatic :  Flows with Forvia Sandouville and Sabelty Italy,PRJ0075256,6/6/2025,Yellow,,,,,,,,,,,,,VERDADERO,Status Sabelt and Status Sandouville
PRJSTAT0075376,FCS Rollout  New CC – FIS MTA FR82 2747 – CYCLADES  Wave 1: FICO     ,PRJ0075483,6/6/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,SAP set up on going
PRJSTAT0075374,IT Infra Project For Changchun GBS Relocation,PRJ0070252,6/6/2025,Green,Green,Green,Green,Green,Green,Green,,96,100,100,100,100,VERDADERO,Ongoing
PRJSTAT0075354,JIT/TCO -FCM -SIL - Master Data Interface,PRJ0074632,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,Under testing with BOM aligment
PRJSTAT0075325,TCO - FCM - ALLENJOIE FHS - STELLANTIS - XL694 TANK - New flow,PRJ0075087,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,- TCO test in progress - Batch homologation W27
PRJSTAT0075343,TCO - FIS - PALMELA - VW210 IP FG / VW216 IP FG / VW386 IP HF,PRJ0074436,6/5/2025,Yellow,,,,,,,,100,100,97,91,0,VERDADERO,• Phases 1&2 >> 86% achieved Details below in the machines & workstations chapter No Risk for MPT in CW23 • MPT & Go Live for phases 1 & 2 planned for CW23  1. GR3 in RED 89% as it's pending Gluing Weight Control & Covering 
PRJSTAT0075351,TCO - FCM - SJI - STELLANTIS FUJI CANNING,PRJ0075303,6/5/2025,Green,,,,,,,,100,0,0,0,0,VERDADERO,Project on going - Hardware installation planned
PRJSTAT0075342,OCR CONTROL - FCM - BAVANS,PRJ0074390,6/5/2025,Yellow,Green,Green,Green,Green,Yellow,,,,,,,,VERDADERO,1. (initial) MPT / RUN@Rate performed in W07-2025 2. mLEAN Bug investigation in progress 3. PIINK software extension in test (with open issue) & in progress 4. TSI introduction of the development (11/06) & final quotation for PROCS will follow
PRJSTAT0075328,FCS Rollout PS Module (WBS) +CATs&TEMPO - South Africa,PRJ0075330,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,WAR #9- Project On-going
PRJSTAT0075322,FOR_Product data feed tool for IAM customers,PRJ0075358,6/5/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,Pending PUR completion and Technical Kick-off planned 11.06.2025
PRJSTAT0075334,TCO - FCM - PISEK - DAIMLER - M254 HE Line1-2-3 ( D569B - E3149E ),PRJ0074689,6/5/2025,Green,Green,Green,Green,Green,,,,,,,,,VERDADERO,"Line 2 - communication tested, production test CW24"
PRJSTAT0075357, Project name : TaxCube ,PRJ0075275,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,Project in progress and on track
PRJSTAT0075336,FOR_Resource virtualization for automatic door triggering HRO Ghiroda & HRO Arad ,PRJ0075314,6/5/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,ok
PRJSTAT0075318,Shenyang FHS CLD TCO for TYPE Ⅳ 400L TANK,PRJ0075164,6/5/2025,Green,,,,,,,,97,85,0,0,0,VERDADERO,PROCS under configuration
PRJSTAT0075327,TCO - FIS - ORHANGAZI - DACIA - IP K1320,PRJ0075127,6/5/2025,Green,Green,,,,,,,100,100,0,0,0,VERDADERO,Configuration to be started
PRJSTAT0075352,TCO - FIS - PBC - TESLA - X - S Migration to PROCS,PRJ0075233,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,FD and FA files needs to be loaded in SAP
PRJSTAT0075359,JIT/TCO -FIS -PFS- Master Data Interface,PRJ0074637,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,Testings are ongoing
PRJSTAT0075348,ITOP - FIS - MCT - Greenfield Materiact Dallas Plant,PRJ0075377,6/5/2025,Yellow,,,,,,,,86,0,0,0,0,VERDADERO,6/5/2025 Server room construction has began on June 2
PRJSTAT0075337,JIT - FIS - PARDUBICE - BMW - G72/G70LCI 2nd,PRJ0074118,6/5/2025,Green,Green,Green,Green,,,,,100,100,100,100,0,VERDADERO,BOM being checked for some partnumbers; Masterdata ongoing
PRJSTAT0075353,TCO - FCM - QRJ - FORD P703 GPF,PRJ0075466,6/5/2025,Green,,,,,,,,100,0,0,0,0,VERDADERO,Project on going - Under Technical Analysis
PRJSTAT0075335,TCO - FCM - MLADA - VW -  (C-MAR) 1.5 TSI Line 1 + Line2 (Kassel),PRJ0074973,6/5/2025,Green,Green,Green,Green,,,,,,,,,,VERDADERO,"Line 1 +2 tested, Go-live on CW24"
PRJSTAT0075350,JIT/TCO -FIS -VDR- Master Data Interface,PRJ0074636,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,ECC will be load the FD and FA files in SAP.
PRJSTAT0075349,JIT/TCO -FIS -PUE - Master Data Interface,PRJ0074635,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,Testing with  files FA and FD from FC2 on Test Server for KM74.
PRJSTAT0075344,EWM - FIS - ARGES - INBOUND PROCESS,PRJ0074770,6/5/2025,Green,,,,,,,,100,100,100,100,0,VERDADERO,CW 23
PRJSTAT0075326,TCO - FCM - MLADA- VW - MAR Downpipes MHEV (E11310B) Line1 - Hot End,PRJ0075485,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,Kick-Off done CW21 Blueprint Validation CW24
PRJSTAT0075340,TCO - FCM - BRAGANCA - RSA - SM12L Mufflers,PRJ0074183,6/5/2025,Green,,,,,,,,100,100,100,100,0,VERDADERO,• 2 Labeling stations validated and running in CW22 • Project acceptance signature by @CARVALHO Luis planned for CW25 • Project closure planned for CW25
PRJSTAT0075358,TCO - FCM - SJI - STLA/CANNING 4017,PRJ0075559,6/5/2025,Green,,,,,,,,0,0,0,0,0,VERDADERO,KickOff with Plant - BBP in progress
PRJSTAT0075345,TCO - FIS - PALMELA - VW386 IP FG,PRJ0074437,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,Go Live done in CW23 2025 - No more machines planned in this line
PRJSTAT0075324,FCS Customer flow - FCM - Augsburg - Jaguar Land Rover EDI connection,PRJ0075293,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,follow up w/o PM (sick-leave)
PRJSTAT0075323,EWM - FIS - FRADLEY,PRJ0075190,6/5/2025,Yellow,,,,,,,,100,0,0,0,0,VERDADERO,NO RFC Needed! Visa could jeopardize SOP QM Lite on track 
PRJSTAT0075347,JIT/TCO -FIS -MTE - Master Data Interface,PRJ0074631,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,"Project on going, no issues or risks."
PRJSTAT0075341,TMS Materi'Act,PRJ0075152,6/5/2025,Yellow,,,,,,,,,0,0,0,0,VERDADERO,CAR validated but additional requirements from Materi'Act pending answers from Bassetti
PRJSTAT0075319,Changzhou FIS W04 IP TCO,PRJ0075503,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,Preparation of shopfloor Infra & Machine PLC
PRJSTAT0075329,FCS Supplier Flow - FIS Pretoria - External Warehouse outsourcing,PRJ0074548,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,MoM 
PRJSTAT0075346,TCO - FCM - MLADA - VW - CANNING - DOWNPIPES - HOT END,PRJ0075310,6/5/2025,Green,,,,,,,,100,100,100,,0,VERDADERO,War CW23
PRJSTAT0075320,Zhengzhou FAS Chery T1N IJCore TCO Project,PRJ0075163,6/5/2025,Green,,,,,,,,,,,,,VERDADERO,integration testing
PRJSTAT0075332,TCO - FIS - MLADA BOLESLAV - BMW - UKL LCI TCO  - IP,PRJ0075360,6/5/2025,Green,,,,,,,,96,0,0,0,0,VERDADERO,Blueprint in progress
PRJSTAT0075321,Lingang FIS JIS,PRJ0072729,6/5/2025,Green,,,,,,,,100,100,100,100,100,VERDADERO,ok
